Feature ID	Taxon	Confidence
7316c3832ec38cd0495800fdb90ee8b6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Ga0077536; f__Ga0077536; g__Ga0077536; s__uncultured_bacterium	0.9992460104103627
45500d433aca766bd01414417f075e13	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Crossiella	0.9980286164251361
0c4044221ce447bccf82e751ba1d0d8c	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Crossiella; s__uncultured_bacterium	0.7991827691508773
2d2e697b25bebf9a20b02c01c72c9bb2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrosococcales; f__Nitrosococcaceae; g__wb1-P19; s__uncultured_bacterium	0.9600049713202136
b2ff8f86352843d0d37e34277c937bc4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrosococcales; f__Nitrosococcaceae; g__wb1-P19; s__uncultured_bacterium	0.9906109105545925
a33fdfe70b0d55aedfa9361dc98b79e1	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Crossiella	0.9992841753434633
d906316112d7f6b256dc80e5e8bf62b6	d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__11-24; f__11-24; g__11-24	0.9999994421808063
0c3c057054bfc412cfe27a1dc4499bb3	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Crossiella; s__uncultured_bacterium	0.9564698330280296
19750a957b04a984d241a0e8e29f9a7c	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Euzebyales; f__Euzebyaceae; g__uncultured; s__uncultured_bacterium	0.7649728491493115
ee0a7969ad430560887d4413d29c5f95	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Ga0077536; f__Ga0077536; g__Ga0077536; s__uncultured_bacterium	0.998845348262632
